resuming from checkpoint at step 25000
corpus: 1,115,394 chars, vocab 65
will train for 2.0 hours with 8 workers

training...

step  27530 | loss  1.456 |  82.9 min left
step  27540 | loss  1.491 |  82.8 min left
step  27550 | loss  1.477 |  82.7 min left
step  27560 | loss  1.480 |  82.5 min left
step  27570 | loss  1.449 |  82.4 min left
step  27580 | loss  1.460 |  82.3 min left
step  27590 | loss  1.449 |  82.1 min left
step  27600 | loss  1.436 |  82.0 min left
step  27610 | loss  1.471 |  81.8 min left
step  27620 | loss  1.478 |  81.7 min left
step  27630 | loss  1.450 |  81.6 min left
step  27640 | loss  1.491 |  81.4 min left
step  27650 | loss  1.506 |  81.3 min left
step  27660 | loss  1.489 |  81.1 min left
step  27670 | loss  1.515 |  81.0 min left
step  27680 | loss  1.476 |  80.8 min left
step  27690 | loss  1.490 |  80.7 min left
step  27700 | loss  1.480 |  80.6 min left
step  27710 | loss  1.446 |  80.4 min left
step  27720 | loss  1.442 |  80.3 min left
step  27730 | loss  1.461 |  80.1 min left
step  27740 | loss  1.488 |  80.0 min left
step  27750 | loss  1.478 |  79.9 min left
step  27760 | loss  1.460 |  79.7 min left
step  27770 | loss  1.490 |  79.6 min left
step  27780 | loss  1.460 |  79.4 min left
step  27790 | loss  1.437 |  79.3 min left
step  27800 | loss  1.447 |  79.2 min left
step  27810 | loss  1.449 |  79.0 min left
step  27820 | loss  1.448 |  78.9 min left
step  27830 | loss  1.437 |  78.7 min left
step  27840 | loss  1.465 |  78.6 min left
step  27850 | loss  1.453 |  78.5 min left
step  27860 | loss  1.434 |  78.3 min left
step  27870 | loss  1.411 |  78.2 min left
step  27880 | loss  1.447 |  78.0 min left
step  27890 | loss  1.455 |  77.9 min left
step  27900 | loss  1.444 |  77.8 min left
step  27910 | loss  1.450 |  77.6 min left
step  27920 | loss  1.461 |  77.5 min left
step  27930 | loss  1.467 |  77.3 min left
step  27940 | loss  1.457 |  77.2 min left
step  27950 | loss  1.439 |  77.1 min left
step  27960 | loss  1.465 |  76.9 min left
step  27970 | loss  1.472 |  76.8 min left
step  27980 | loss  1.466 |  76.6 min left
step  27990 | loss  1.461 |  76.5 min left
step  28000 | loss  1.466 |  76.4 min left

--- sample ---
Provost:
And you'll not that idly many mint;
But thou tmuch from out provicess thou bything on her bear me:
Now now, doth so prince you are the more.

CAMILLO:
I would you was forth a brow both-hors?
Is a loyal booth done to Qu hence; here I, is I am send the first spirity will for my
mind as foll.

--- end ---

step  28010 | loss  1.454 |  75.5 min left
step  28020 | loss  1.481 |  75.4 min left
step  28030 | loss  1.453 |  75.3 min left
step  28040 | loss  1.494 |  75.1 min left
step  28050 | loss  1.464 |  75.0 min left
step  28060 | loss  1.465 |  74.9 min left
step  28070 | loss  1.466 |  74.7 min left
step  28080 | loss  1.474 |  74.6 min left
step  28090 | loss  1.550 |  74.4 min left
step  28100 | loss  1.490 |  74.3 min left
step  28110 | loss  1.490 |  74.2 min left
step  28120 | loss  1.458 |  74.0 min left
step  28130 | loss  1.492 |  73.9 min left
step  28140 | loss  1.469 |  73.8 min left
step  28150 | loss  1.452 |  73.6 min left
step  28160 | loss  1.413 |  73.5 min left
step  28170 | loss  1.428 |  73.4 min left
step  28180 | loss  1.436 |  73.2 min left
step  28190 | loss  1.428 |  73.1 min left
step  28200 | loss  1.432 |  73.0 min left
step  28210 | loss  1.449 |  72.8 min left
step  28220 | loss  1.453 |  72.7 min left
step  28230 | loss  1.463 |  72.5 min left
step  28240 | loss  1.465 |  72.4 min left
step  28250 | loss  1.494 |  72.3 min left
step  28260 | loss  1.488 |  72.1 min left
step  28270 | loss  1.474 |  72.0 min left
step  28280 | loss  1.447 |  71.9 min left
step  28290 | loss  1.469 |  71.7 min left
step  28300 | loss  1.460 |  71.6 min left
step  28310 | loss  1.467 |  71.4 min left
step  28320 | loss  1.475 |  71.3 min left
step  28330 | loss  1.461 |  71.2 min left
step  28340 | loss  1.429 |  71.0 min left
step  28350 | loss  1.424 |  70.9 min left
step  28360 | loss  1.433 |  70.8 min left
step  28370 | loss  1.431 |  70.6 min left
step  28380 | loss  1.480 |  70.5 min left
step  28390 | loss  1.475 |  70.3 min left
step  28400 | loss  1.475 |  70.2 min left
step  28410 | loss  1.473 |  70.1 min left
step  28420 | loss  1.458 |  69.9 min left
step  28430 | loss  1.453 |  69.8 min left
step  28440 | loss  1.440 |  69.7 min left
step  28450 | loss  1.446 |  69.5 min left
step  28460 | loss  1.471 |  69.4 min left
step  28470 | loss  1.478 |  69.2 min left
step  28480 | loss  1.469 |  69.1 min left
step  28490 | loss  1.455 |  69.0 min left
step  28500 | loss  1.439 |  68.8 min left
step  28510 | loss  1.435 |  68.7 min left
step  28520 | loss  1.484 |  68.5 min left
step  28530 | loss  1.469 |  68.4 min left
step  28540 | loss  1.425 |  68.3 min left
step  28550 | loss  1.411 |  68.1 min left
step  28560 | loss  1.426 |  68.0 min left
step  28570 | loss  1.468 |  67.8 min left
step  28580 | loss  1.421 |  67.7 min left
step  28590 | loss  1.456 |  67.5 min left
step  28600 | loss  1.462 |  67.4 min left
step  28610 | loss  1.427 |  67.3 min left
step  28620 | loss  1.449 |  67.1 min left
step  28630 | loss  1.461 |  67.0 min left
step  28640 | loss  1.446 |  66.8 min left
step  28650 | loss  1.447 |  66.7 min left
step  28660 | loss  1.477 |  66.5 min left
step  28670 | loss  1.452 |  66.4 min left
step  28680 | loss  1.475 |  66.3 min left
step  28690 | loss  1.473 |  66.1 min left
step  28700 | loss  1.491 |  66.0 min left
step  28710 | loss  1.472 |  65.8 min left
step  28720 | loss  1.471 |  65.7 min left
step  28730 | loss  1.474 |  65.5 min left
step  28740 | loss  1.484 |  65.4 min left
step  28750 | loss  1.486 |  65.2 min left
step  28760 | loss  1.440 |  65.1 min left
step  28770 | loss  1.462 |  64.9 min left
step  28780 | loss  1.440 |  64.8 min left
step  28790 | loss  1.477 |  64.7 min left
step  28800 | loss  1.488 |  64.5 min left
step  28810 | loss  1.461 |  64.4 min left
step  28820 | loss  1.496 |  64.2 min left
step  28830 | loss  1.465 |  64.1 min left
step  28840 | loss  1.467 |  63.9 min left
step  28850 | loss  1.461 |  63.8 min left
step  28860 | loss  1.406 |  63.7 min left
step  28870 | loss  1.442 |  63.5 min left
step  28880 | loss  1.468 |  63.4 min left
step  28890 | loss  1.461 |  63.2 min left
step  28900 | loss  1.449 |  63.1 min left
step  28910 | loss  1.475 |  62.9 min left
step  28920 | loss  1.480 |  62.8 min left
step  28930 | loss  1.443 |  62.7 min left
step  28940 | loss  1.454 |  62.5 min left
step  28950 | loss  1.462 |  62.4 min left
step  28960 | loss  1.413 |  62.2 min left
step  28970 | loss  1.463 |  62.1 min left
step  28980 | loss  1.479 |  61.9 min left
step  28990 | loss  1.474 |  61.8 min left
step  29000 | loss  1.478 |  61.6 min left

--- sample ---
PRINCE EDWARD:
How will your fortune, that's any car mannot gone of the
corruptables.

CATESBY:
Not amend, for me to Bonny beat,
And, or not send your troth lords,
And never a man of the hinnour's entern captan's care
To prepatience blesser, sights that
serving your eden Edward, for on the pardon fo
--- end ---

step  29010 | loss  1.464 |  60.8 min left
step  29020 | loss  1.467 |  60.7 min left
step  29030 | loss  1.454 |  60.5 min left
step  29040 | loss  1.455 |  60.4 min left
step  29050 | loss  1.427 |  60.2 min left
step  29060 | loss  1.427 |  60.1 min left
step  29070 | loss  1.473 |  60.0 min left
step  29080 | loss  1.484 |  59.8 min left
step  29090 | loss  1.492 |  59.7 min left
step  29100 | loss  1.423 |  59.6 min left
step  29110 | loss  1.434 |  59.4 min left
step  29120 | loss  1.428 |  59.3 min left
step  29130 | loss  1.492 |  59.1 min left
step  29140 | loss  1.489 |  59.0 min left
step  29150 | loss  1.461 |  58.9 min left
step  29160 | loss  1.478 |  58.7 min left
step  29170 | loss  1.459 |  58.6 min left
step  29180 | loss  1.458 |  58.5 min left
step  29190 | loss  1.477 |  58.3 min left
step  29200 | loss  1.440 |  58.2 min left
step  29210 | loss  1.445 |  58.0 min left
step  29220 | loss  1.422 |  57.9 min left
step  29230 | loss  1.450 |  57.8 min left
step  29240 | loss  1.479 |  57.6 min left
step  29250 | loss  1.495 |  57.5 min left
step  29260 | loss  1.451 |  57.4 min left
step  29270 | loss  1.480 |  57.2 min left
step  29280 | loss  1.486 |  57.1 min left
step  29290 | loss  1.467 |  56.9 min left
step  29300 | loss  1.455 |  56.8 min left
step  29310 | loss  1.449 |  56.7 min left
step  29320 | loss  1.469 |  56.5 min left
step  29330 | loss  1.503 |  56.4 min left
step  29340 | loss  1.490 |  56.3 min left
step  29350 | loss  1.456 |  56.1 min left
step  29360 | loss  1.452 |  56.0 min left
step  29370 | loss  1.485 |  55.8 min left
step  29380 | loss  1.470 |  55.7 min left
step  29390 | loss  1.507 |  55.6 min left
step  29400 | loss  1.472 |  55.4 min left
step  29410 | loss  1.446 |  55.3 min left
step  29420 | loss  1.438 |  55.1 min left
step  29430 | loss  1.470 |  55.0 min left
step  29440 | loss  1.437 |  54.9 min left
step  29450 | loss  1.486 |  54.7 min left
step  29460 | loss  1.465 |  54.6 min left
step  29470 | loss  1.470 |  54.5 min left
step  29480 | loss  1.472 |  54.3 min left
step  29490 | loss  1.458 |  54.2 min left
step  29500 | loss  1.429 |  54.0 min left
step  29510 | loss  1.464 |  53.9 min left
step  29520 | loss  1.452 |  53.7 min left
step  29530 | loss  1.456 |  53.6 min left
step  29540 | loss  1.462 |  53.4 min left
step  29550 | loss  1.471 |  53.3 min left
step  29560 | loss  1.485 |  53.2 min left
step  29570 | loss  1.455 |  53.0 min left
step  29580 | loss  1.441 |  52.9 min left
step  29590 | loss  1.400 |  52.7 min left
step  29600 | loss  1.397 |  52.6 min left
step  29610 | loss  1.415 |  52.4 min left
step  29620 | loss  1.441 |  52.3 min left
step  29630 | loss  1.472 |  52.2 min left
step  29640 | loss  1.480 |  52.0 min left
step  29650 | loss  1.475 |  51.9 min left
step  29660 | loss  1.473 |  51.7 min left
step  29670 | loss  1.485 |  51.6 min left
step  29680 | loss  1.469 |  51.4 min left
step  29690 | loss  1.469 |  51.3 min left
step  29700 | loss  1.504 |  51.2 min left
step  29710 | loss  1.481 |  51.0 min left
step  29720 | loss  1.444 |  50.9 min left
step  29730 | loss  1.443 |  50.7 min left
step  29740 | loss  1.432 |  50.6 min left
step  29750 | loss  1.408 |  50.4 min left
step  29760 | loss  1.502 |  50.3 min left
step  29770 | loss  1.484 |  50.2 min left
step  29780 | loss  1.472 |  50.0 min left
step  29790 | loss  1.469 |  49.9 min left
step  29800 | loss  1.472 |  49.7 min left
step  29810 | loss  1.450 |  49.6 min left
step  29820 | loss  1.510 |  49.4 min left
step  29830 | loss  1.447 |  49.3 min left
step  29840 | loss  1.421 |  49.2 min left
step  29850 | loss  1.428 |  49.0 min left
step  29860 | loss  1.417 |  48.9 min left
step  29870 | loss  1.481 |  48.7 min left
step  29880 | loss  1.495 |  48.6 min left
step  29890 | loss  1.512 |  48.4 min left
step  29900 | loss  1.492 |  48.3 min left
step  29910 | loss  1.470 |  48.2 min left
step  29920 | loss  1.465 |  48.0 min left
step  29930 | loss  1.458 |  47.9 min left
step  29940 | loss  1.473 |  47.7 min left
step  29950 | loss  1.455 |  47.6 min left
step  29960 | loss  1.430 |  47.4 min left
step  29970 | loss  1.443 |  47.3 min left
step  29980 | loss  1.431 |  47.2 min left
step  29990 | loss  1.434 |  47.0 min left
step  30000 | loss  1.480 |  46.9 min left

--- sample ---
GREMIO:
So then you speak,
What seek the authorious of the death to her such eyes.

DUKE OF YORK:
That you'll to lalined itself.

RIVERS:
O, I next thee, my lords?

PETRUCHIO:
How the misery--

Second Capulet, we will be decreed fouls
Off were not love me by the death him.

ABHORSON:
Julit, my lord:
--- end ---

step  30010 | loss  1.488 |  46.0 min left
step  30020 | loss  1.489 |  45.9 min left
step  30030 | loss  1.482 |  45.8 min left
step  30040 | loss  1.488 |  45.6 min left
step  30050 | loss  1.462 |  45.5 min left
step  30060 | loss  1.453 |  45.4 min left
step  30070 | loss  1.461 |  45.2 min left
step  30080 | loss  1.432 |  45.1 min left
step  30090 | loss  1.451 |  44.9 min left
step  30100 | loss  1.450 |  44.8 min left
step  30110 | loss  1.444 |  44.7 min left
step  30120 | loss  1.435 |  44.5 min left
step  30130 | loss  1.445 |  44.4 min left
step  30140 | loss  1.417 |  44.3 min left
step  30150 | loss  1.414 |  44.1 min left
step  30160 | loss  1.412 |  44.0 min left
step  30170 | loss  1.467 |  43.8 min left
step  30180 | loss  1.466 |  43.7 min left
step  30190 | loss  1.464 |  43.6 min left
step  30200 | loss  1.423 |  43.4 min left
step  30210 | loss  1.448 |  43.3 min left
step  30220 | loss  1.445 |  43.1 min left
step  30230 | loss  1.420 |  43.0 min left
step  30240 | loss  1.419 |  42.9 min left
step  30250 | loss  1.484 |  42.7 min left
step  30260 | loss  1.513 |  42.6 min left
step  30270 | loss  1.465 |  42.5 min left
step  30280 | loss  1.448 |  42.3 min left
step  30290 | loss  1.450 |  42.2 min left
step  30300 | loss  1.472 |  42.0 min left
step  30310 | loss  1.446 |  41.9 min left
step  30320 | loss  1.476 |  41.8 min left
step  30330 | loss  1.470 |  41.6 min left
step  30340 | loss  1.427 |  41.5 min left
step  30350 | loss  1.421 |  41.3 min left
step  30360 | loss  1.419 |  41.2 min left
step  30370 | loss  1.441 |  41.1 min left
step  30380 | loss  1.495 |  40.9 min left
step  30390 | loss  1.452 |  40.8 min left
step  30400 | loss  1.423 |  40.7 min left
step  30410 | loss  1.410 |  40.5 min left
step  30420 | loss  1.453 |  40.4 min left
step  30430 | loss  1.490 |  40.2 min left
step  30440 | loss  1.491 |  40.1 min left
step  30450 | loss  1.487 |  40.0 min left
step  30460 | loss  1.451 |  39.8 min left
step  30470 | loss  1.460 |  39.7 min left
step  30480 | loss  1.485 |  39.5 min left
step  30490 | loss  1.495 |  39.4 min left
step  30500 | loss  1.461 |  39.3 min left
step  30510 | loss  1.458 |  39.1 min left
step  30520 | loss  1.441 |  39.0 min left
step  30530 | loss  1.438 |  38.8 min left
step  30540 | loss  1.492 |  38.7 min left
step  30550 | loss  1.509 |  38.6 min left
step  30560 | loss  1.494 |  38.4 min left
step  30570 | loss  1.481 |  38.3 min left
step  30580 | loss  1.483 |  38.1 min left
step  30590 | loss  1.449 |  38.0 min left
step  30600 | loss  1.478 |  37.8 min left
step  30610 | loss  1.470 |  37.7 min left
step  30620 | loss  1.471 |  37.5 min left
step  30630 | loss  1.505 |  37.4 min left
step  30640 | loss  1.502 |  37.3 min left
step  30650 | loss  1.473 |  37.1 min left
step  30660 | loss  1.438 |  37.0 min left
step  30670 | loss  1.427 |  36.8 min left
step  30680 | loss  1.461 |  36.7 min left
step  30690 | loss  1.454 |  36.5 min left
step  30700 | loss  1.444 |  36.4 min left
step  30710 | loss  1.456 |  36.2 min left
step  30720 | loss  1.446 |  36.1 min left
step  30730 | loss  1.478 |  35.9 min left
step  30740 | loss  1.444 |  35.8 min left
step  30750 | loss  1.443 |  35.7 min left
step  30760 | loss  1.440 |  35.5 min left
step  30770 | loss  1.409 |  35.4 min left
step  30780 | loss  1.428 |  35.2 min left
step  30790 | loss  1.448 |  35.1 min left
step  30800 | loss  1.452 |  34.9 min left
step  30810 | loss  1.497 |  34.8 min left
step  30820 | loss  1.463 |  34.6 min left
step  30830 | loss  1.460 |  34.5 min left
step  30840 | loss  1.465 |  34.4 min left
step  30850 | loss  1.455 |  34.2 min left
step  30860 | loss  1.450 |  34.1 min left
step  30870 | loss  1.460 |  33.9 min left
step  30880 | loss  1.442 |  33.8 min left
step  30890 | loss  1.479 |  33.6 min left
step  30900 | loss  1.446 |  33.5 min left
step  30910 | loss  1.450 |  33.3 min left
step  30920 | loss  1.458 |  33.2 min left
step  30930 | loss  1.435 |  33.0 min left
