corpus     : 1,115,394 characters, vocab 65
model      : 4 layers, 4 heads, 128 dim
parallelism: 8 workers x 3 sequences = batch 24

parameters : 142 tensors

training...

step  2700/25000 | loss  1.888 |  1.13 steps/s | ETA 329.2 min
step  2710/25000 | loss  1.854 |  1.13 steps/s | ETA 329.0 min
step  2720/25000 | loss  1.774 |  1.13 steps/s | ETA 328.8 min
step  2730/25000 | loss  1.816 |  1.13 steps/s | ETA 328.6 min
step  2740/25000 | loss  1.816 |  1.13 steps/s | ETA 328.5 min
step  2750/25000 | loss  1.809 |  1.13 steps/s | ETA 328.3 min
step  2760/25000 | loss  1.811 |  1.13 steps/s | ETA 328.1 min
step  2770/25000 | loss  1.805 |  1.13 steps/s | ETA 327.9 min
step  2780/25000 | loss  1.830 |  1.13 steps/s | ETA 327.8 min
step  2790/25000 | loss  1.834 |  1.13 steps/s | ETA 327.6 min
step  2800/25000 | loss  1.832 |  1.13 steps/s | ETA 327.5 min
step  2810/25000 | loss  1.804 |  1.13 steps/s | ETA 327.4 min
step  2820/25000 | loss  1.810 |  1.13 steps/s | ETA 327.2 min
step  2830/25000 | loss  1.832 |  1.13 steps/s | ETA 327.1 min
step  2840/25000 | loss  1.833 |  1.13 steps/s | ETA 326.9 min
step  2850/25000 | loss  1.823 |  1.13 steps/s | ETA 326.8 min
step  2860/25000 | loss  1.812 |  1.13 steps/s | ETA 326.6 min
step  2870/25000 | loss  1.813 |  1.13 steps/s | ETA 326.5 min
step  2880/25000 | loss  1.806 |  1.13 steps/s | ETA 326.3 min
step  2890/25000 | loss  1.800 |  1.13 steps/s | ETA 326.2 min
step  2900/25000 | loss  1.833 |  1.13 steps/s | ETA 326.0 min
step  2910/25000 | loss  1.831 |  1.13 steps/s | ETA 325.9 min
step  2920/25000 | loss  1.791 |  1.13 steps/s | ETA 325.7 min
step  2930/25000 | loss  1.809 |  1.13 steps/s | ETA 325.6 min
step  2940/25000 | loss  1.814 |  1.13 steps/s | ETA 325.4 min
step  2950/25000 | loss  1.797 |  1.13 steps/s | ETA 325.2 min
step  2960/25000 | loss  1.794 |  1.13 steps/s | ETA 325.1 min
step  2970/25000 | loss  1.820 |  1.13 steps/s | ETA 324.9 min
step  2980/25000 | loss  1.819 |  1.13 steps/s | ETA 324.8 min
step  2990/25000 | loss  1.818 |  1.13 steps/s | ETA 324.6 min
step  3000/25000 | loss  1.770 |  1.13 steps/s | ETA 324.5 min

--- sample ---
CORIONUS:
What you sumbled?
Had do like it now well all sout budst my so.
O commessome none heere dreme, with your against the read
In mis half hands withines seeeee so forwn:
What a broke, of a swair who delimanst know acccuses,
To her isue frull chall, I am hastely by and as th
--- end ---

step  3010/25000 | loss  1.820 |  1.11 steps/s | ETA 329.0 min
step  3020/25000 | loss  1.828 |  1.11 steps/s | ETA 328.8 min
step  3030/25000 | loss  1.843 |  1.11 steps/s | ETA 328.6 min
step  3040/25000 | loss  1.819 |  1.11 steps/s | ETA 328.4 min
step  3050/25000 | loss  1.828 |  1.11 steps/s | ETA 328.2 min
step  3060/25000 | loss  1.828 |  1.12 steps/s | ETA 327.9 min
step  3070/25000 | loss  1.838 |  1.12 steps/s | ETA 327.7 min
step  3080/25000 | loss  1.834 |  1.12 steps/s | ETA 327.5 min
step  3090/25000 | loss  1.821 |  1.12 steps/s | ETA 327.4 min
step  3100/25000 | loss  1.799 |  1.12 steps/s | ETA 327.2 min
step  3110/25000 | loss  1.819 |  1.12 steps/s | ETA 326.9 min
step  3120/25000 | loss  1.778 |  1.12 steps/s | ETA 326.7 min
step  3130/25000 | loss  1.828 |  1.12 steps/s | ETA 326.5 min
step  3140/25000 | loss  1.815 |  1.12 steps/s | ETA 326.3 min
step  3150/25000 | loss  1.826 |  1.12 steps/s | ETA 326.2 min
step  3160/25000 | loss  1.817 |  1.12 steps/s | ETA 326.0 min
step  3170/25000 | loss  1.785 |  1.12 steps/s | ETA 325.7 min
step  3180/25000 | loss  1.763 |  1.12 steps/s | ETA 325.5 min
step  3190/25000 | loss  1.786 |  1.12 steps/s | ETA 325.3 min
step  3200/25000 | loss  1.825 |  1.12 steps/s | ETA 325.1 min
step  3210/25000 | loss  1.810 |  1.12 steps/s | ETA 324.9 min
step  3220/25000 | loss  1.803 |  1.12 steps/s | ETA 324.7 min
step  3230/25000 | loss  1.841 |  1.12 steps/s | ETA 324.5 min
step  3240/25000 | loss  1.838 |  1.12 steps/s | ETA 324.3 min
step  3250/25000 | loss  1.842 |  1.12 steps/s | ETA 324.1 min
step  3260/25000 | loss  1.789 |  1.12 steps/s | ETA 324.0 min
step  3270/25000 | loss  1.806 |  1.12 steps/s | ETA 323.8 min
step  3280/25000 | loss  1.787 |  1.12 steps/s | ETA 323.6 min
step  3290/25000 | loss  1.774 |  1.12 steps/s | ETA 323.4 min
step  3300/25000 | loss  1.794 |  1.12 steps/s | ETA 323.2 min
step  3310/25000 | loss  1.771 |  1.12 steps/s | ETA 323.0 min
step  3320/25000 | loss  1.806 |  1.12 steps/s | ETA 322.9 min
step  3330/25000 | loss  1.807 |  1.12 steps/s | ETA 322.7 min
step  3340/25000 | loss  1.801 |  1.12 steps/s | ETA 322.5 min
step  3350/25000 | loss  1.826 |  1.12 steps/s | ETA 322.3 min
step  3360/25000 | loss  1.801 |  1.12 steps/s | ETA 322.1 min
step  3370/25000 | loss  1.770 |  1.12 steps/s | ETA 321.9 min
step  3380/25000 | loss  1.804 |  1.12 steps/s | ETA 321.8 min
step  3390/25000 | loss  1.816 |  1.12 steps/s | ETA 321.6 min
step  3400/25000 | loss  1.784 |  1.12 steps/s | ETA 321.4 min
step  3410/25000 | loss  1.773 |  1.12 steps/s | ETA 321.3 min
step  3420/25000 | loss  1.779 |  1.12 steps/s | ETA 321.1 min
step  3430/25000 | loss  1.766 |  1.12 steps/s | ETA 320.9 min
step  3440/25000 | loss  1.813 |  1.12 steps/s | ETA 320.7 min
step  3450/25000 | loss  1.809 |  1.12 steps/s | ETA 320.5 min
step  3460/25000 | loss  1.807 |  1.12 steps/s | ETA 320.4 min
step  3470/25000 | loss  1.736 |  1.12 steps/s | ETA 320.2 min
step  3480/25000 | loss  1.786 |  1.12 steps/s | ETA 320.0 min
step  3490/25000 | loss  1.776 |  1.12 steps/s | ETA 319.8 min
step  3500/25000 | loss  1.734 |  1.12 steps/s | ETA 319.6 min
step  3510/25000 | loss  1.788 |  1.12 steps/s | ETA 319.5 min
step  3520/25000 | loss  1.755 |  1.12 steps/s | ETA 319.3 min
step  3530/25000 | loss  1.781 |  1.12 steps/s | ETA 319.1 min
step  3540/25000 | loss  1.785 |  1.12 steps/s | ETA 318.9 min
step  3550/25000 | loss  1.816 |  1.12 steps/s | ETA 318.8 min
step  3560/25000 | loss  1.799 |  1.12 steps/s | ETA 318.6 min
step  3570/25000 | loss  1.813 |  1.12 steps/s | ETA 318.4 min
step  3580/25000 | loss  1.740 |  1.12 steps/s | ETA 318.2 min
step  3590/25000 | loss  1.756 |  1.12 steps/s | ETA 318.1 min
step  3600/25000 | loss  1.723 |  1.12 steps/s | ETA 317.9 min
step  3610/25000 | loss  1.761 |  1.12 steps/s | ETA 317.7 min
